draw_date,draw_year,draw_num,number1,number2,number3,number4,number5,multiplier,jackpot,num_of_wins
5-Oct-99,1999,1,8,15,16,17,18,,159032.06,3
7-Oct-99,1999,2,1,2,9,11,20,,255513.35,14
12-Oct-99,1999,3,7,9,17,18,20,,353692.69,10
14-Oct-99,1999,4,3,4,8,14,16,,386956.64,19
19-Oct-99,1999,5,3,5,9,12,20,,444679.27,21
21-Oct-99,1999,6,2,13,15,16,20,,458677.5,23
26-Oct-99,1999,7,2,6,11,14,15,,526456.07,22
28-Oct-99,1999,8,2,3,5,7,16,,547408.18,23
2-Nov-99,1999,9,2,9,10,11,13,,587143.83,21
4-Nov-99,1999,10,1,11,18,19,20,,566404.52,30
9-Nov-99,1999,11,3,7,11,15,19,,538618.5,181
11-Nov-99,1999,12,1,5,7,12,16,,510124.86,21
16-Nov-99,1999,13,3,11,14,17,20,,527783.9,38
18-Nov-99,1999,14,2,10,12,15,17,,487184.7,20
23-Nov-99,1999,15,1,2,13,14,16,,484850.96,18
25-Nov-99,1999,16,1,3,6,9,10,,468108.58,32
30-Nov-99,1999,17,8,9,14,15,20,,506797.46,26
2-Dec-99,1999,18,3,9,10,12,20,,498023.24,24
7-Dec-99,1999,19,3,4,7,10,14,,473560.65,26
9-Dec-99,1999,20,2,4,8,12,20,,450790.8,33
14-Dec-99,1999,21,4,5,8,17,20,,442133.26,16
16-Dec-99,1999,22,2,8,15,17,19,,428113.81,25
20-Dec-99,1999,23,6,7,9,13,20,,436475.84,28
23-Dec-99,1999,24,10,14,15,18,20,,391426.73,19
27-Dec-99,1999,25,3,6,9,13,16,,369483.81,27
30-Dec-99,1999,26,3,4,7,12,14,,403160.45,25
4-Jan-00,2000,27,1,8,13,15,17,,386965.35,19
6-Jan-00,2000,28,7,8,9,10,20,,394737.88,23
11-Jan-00,2000,29,4,5,12,14,17,,382991.1,21
13-Jan-00,2000,30,1,8,10,13,16,,369650.95,13
18-Jan-00,2000,31,2,6,13,15,20,,377849.47,16
20-Jan-00,2000,32,2,3,5,14,16,,357552.36,21
25-Jan-00,2000,33,3,4,5,6,20,,376800.32,26
27-Jan-00,2000,34,1,3,4,8,19,,371097,20
1-Feb-00,2000,35,2,4,7,8,12,,386048.5,19
3-Feb-00,2000,36,2,4,6,8,12,,361874.53,57
8-Feb-00,2000,37,3,6,12,17,19,,365497.97,18
10-Feb-00,2000,38,1,4,14,15,20,,356578.79,11
15-Feb-00,2000,39,1,4,7,13,19,,348155.55,30
17-Feb-00,2000,40,1,2,10,11,16,,332740.6,8
22-Feb-00,2000,41,6,8,15,17,20,,354660.99,20
24-Feb-00,2000,42,5,7,11,12,16,,330782.2,16
29-Feb-00,2000,43,1,4,5,8,20,,365069.26,25
2-Mar-00,2000,44,1,4,5,14,20,,349459.81,28
7-Mar-00,2000,45,4,5,8,14,15,,203631.06,11
9-Mar-00,2000,46,7,9,12,16,19,,329751.32,15
14-Mar-00,2000,47,1,4,10,16,19,,332216.92,9
16-Mar-00,2000,48,5,9,13,14,20,,322647.02,11
21-Mar-00,2000,49,1,4,6,9,16,,327545.33,20
23-Mar-00,2000,50,2,7,8,12,16,,312374.47,16
28-Mar-00,2000,51,2,6,7,16,19,,326762.2,13
31-Mar-00,2000,52,4,9,11,12,18,,267888.32,17
4-Apr-00,2000,53,4,6,7,13,18,,324942.67,18
6-Apr-00,2000,54,3,6,9,10,14,,310547.55,20
11-Apr-00,2000,55,2,8,15,16,17,,322812.25,16
13-Apr-00,2000,56,6,7,8,11,14,,302796.86,10
18-Apr-00,2000,57,6,12,16,17,19,,311066.15,9
20-Apr-00,2000,58,3,5,8,17,19,,297516.67,19
25-Apr-00,2000,59,3,6,13,18,20,,265701.01,14
27-Apr-00,2000,60,7,11,12,15,18,,299716.45,4
2-May-00,2000,61,2,6,9,14,20,,327906.05,19
4-May-00,2000,62,4,7,12,13,14,,315101.69,16
9-May-00,2000,63,8,12,13,14,15,,331461.37,13
11-May-00,2000,64,3,9,11,15,16,,327686.79,16
16-May-00,2000,65,1,6,12,14,17,,336172.83,23
18-May-00,2000,66,1,4,5,12,19,,326813.77,7
23-May-00,2000,67,2,7,9,11,19,,335548.98,21
25-May-00,2000,68,2,4,7,13,14,,324652.8,14
30-May-00,2000,69,2,4,7,13,20,,264370.3,12
1-Jun-00,2000,70,3,4,9,14,19,,341036.14,16
6-Jun-00,2000,71,7,9,11,16,19,,354943.37,17
8-Jun-00,2000,72,1,2,6,9,20,,334340.5,33
13-Jun-00,2000,73,3,5,6,8,9,,331147.49,34
15-Jun-00,2000,74,3,6,7,8,10,,310944.33,19
20-Jun-00,2000,75,2,8,13,14,16,,272155.48,16
22-Jun-00,2000,76,2,9,11,12,16,,241736.14,12
26-Jun-00,2000,77,4,5,10,13,18,,234951.96,13
28-Jun-00,2000,78,1,7,9,10,11,,301286.98,16
30-Jun-00,2000,79,1,6,12,15,20,,323670.56,13
3-Jul-00,2000,80,3,5,8,10,13,,281486.56,40
5-Jul-00,2000,81,3,4,7,18,19,,305524.8,19
7-Jul-00,2000,82,2,3,10,14,18,,306695.06,11
10-Jul-00,2000,83,3,4,6,8,20,,249885.18,16
12-Jul-00,2000,84,2,4,9,14,17,,275088.07,7
14-Jul-00,2000,85,5,7,9,15,18,,300483.44,12
17-Jul-00,2000,86,5,10,17,19,20,,249385.15,14
19-Jul-00,2000,87,2,6,9,13,15,,268777.31,18
21-Jul-00,2000,88,2,3,6,19,20,,281951.9,11
24-Jul-00,2000,89,4,8,9,13,16,,228406.39,20
26-Jul-00,2000,90,4,7,9,11,19,,260056.75,21
28-Jul-00,2000,91,3,11,14,17,19,,297655.65,9
31-Jul-00,2000,92,9,10,12,16,18,,253762.39,8
2-Aug-00,2000,93,5,6,9,11,15,,256752.95,14
4-Aug-00,2000,94,3,7,9,18,20,,288926.94,12
7-Aug-00,2000,95,3,5,6,8,12,,241062.34,19
9-Aug-00,2000,96,5,7,8,12,18,,249388.71,9
11-Aug-00,2000,97,6,12,13,14,16,,282960.47,15
14-Aug-00,2000,98,9,13,14,19,20,,232091.78,7
16-Aug-00,2000,99,4,11,13,15,18,,245293.39,10
18-Aug-00,2000,100,1,12,13,14,16,,285516.91,10
21-Aug-00,2000,101,1,12,15,17,18,,231624.47,11
23-Aug-00,2000,102,2,4,13,17,20,,256770.48,16
25-Aug-00,2000,103,4,10,12,14,17,,286637.86,15
28-Aug-00,2000,104,1,7,14,15,17,,241059.06,11
30-Aug-00,2000,105,3,7,8,9,20,,280835.01,17
1-Sep-00,2000,106,4,6,10,17,20,,284996.92,15
4-Sep-00,2000,107,1,8,11,15,19,,249819.45,6
6-Sep-00,2000,108,2,4,8,14,15,,266780.08,13
8-Sep-00,2000,109,8,9,11,14,19,,286187.24,9
11-Sep-00,2000,110,3,5,16,17,19,,236747.98,9
13-Sep-00,2000,111,5,10,16,18,19,,257628.83,19
15-Sep-00,2000,112,7,8,16,18,19,,274020.49,9
18-Sep-00,2000,113,4,6,9,11,15,,235683.38,11
20-Sep-00,2000,114,2,9,10,16,18,,254493.87,12
22-Sep-00,2000,115,3,7,9,18,19,,285083.86,13
25-Sep-00,2000,116,1,7,11,16,17,,239668.21,7
27-Sep-00,2000,117,3,5,6,8,17,,258925.96,19
29-Sep-00,2000,118,1,6,10,13,14,,277116.84,13
2-Oct-00,2000,119,1,9,11,13,17,,238870.11,15
4-Oct-00,2000,120,1,3,6,17,18,,263880.51,15
6-Oct-00,2000,121,1,4,5,9,14,,279128.71,19
9-Oct-00,2000,122,1,6,10,14,16,,236599.38,10
11-Oct-00,2000,123,1,4,13,16,19,,245219.34,8
13-Oct-00,2000,124,4,6,8,14,20,,273317.14,18
16-Oct-00,2000,125,1,10,15,18,20,,224004.23,7
18-Oct-00,2000,126,2,4,9,12,16,,238259.99,24
20-Oct-00,2000,127,1,6,7,8,18,,260712.36,10
23-Oct-00,2000,128,5,7,8,17,19,,213506.89,8
25-Oct-00,2000,129,4,12,15,17,18,,236634.37,8
27-Oct-00,2000,130,5,7,10,11,17,,244986.04,22
30-Oct-00,2000,131,2,7,10,12,16,,229775.06,12
1-Nov-00,2000,132,5,12,13,15,20,,259079.37,9
3-Nov-00,2000,133,2,3,9,16,17,,281405.62,10
6-Nov-00,2000,134,2,6,11,13,18,,231169.39,5
8-Nov-00,2000,135,2,3,6,8,12,,246353.83,18
10-Nov-00,2000,136,1,2,4,9,17,,261346.29,9
13-Nov-00,2000,137,5,10,12,15,19,,215593.26,16
